arm,role,collision_rate,mean_min_gap,mean_max_decel,mean_rms_jerk
PE_t05_gp0002,oracolo,0.0,12.607,4.083,1.898
PE_t05_gp0002,SNN,0.0,12.035,4.023,1.675
ADAM_lr1e3_t08,oracolo,0.0,12.607,4.083,1.898
ADAM_lr1e3_t08,SNN,0.0,12.361,4.024,1.602
ADAM_lr1e3_t10,oracolo,0.0,12.607,4.083,1.898
ADAM_lr1e3_t10,SNN,0.0,12.707,4.043,1.616
ADAM_lr1e3_t12,oracolo,0.0,12.607,4.083,1.898
ADAM_lr1e3_t12,SNN,0.1,11.996,4.024,1.629
ADAM_lr1e3_t14,oracolo,0.0,12.607,4.083,1.898
ADAM_lr1e3_t14,SNN,0.0,12.44,4.034,1.603
ADAM_lr2e3_t08,oracolo,0.0,12.607,4.083,1.898
ADAM_lr2e3_t08,SNN,0.0,12.564,4.028,1.597
ADAM_lr2e3_t10,oracolo,0.0,12.607,4.083,1.898
ADAM_lr2e3_t10,SNN,0.0,12.473,4.014,1.558
ADAM_lr2e3_t12,oracolo,0.0,12.607,4.083,1.898
ADAM_lr2e3_t12,SNN,0.0,12.611,4.036,1.599
ADAM_lr2e3_t14,oracolo,0.0,12.607,4.083,1.898
ADAM_lr2e3_t14,SNN,0.0,12.36,4.004,1.566
ADAM_lr3e3_t08,oracolo,0.0,12.607,4.083,1.898
ADAM_lr3e3_t08,SNN,0.2,11.843,4.0,1.646
ADAM_lr3e3_t10,oracolo,0.0,12.607,4.083,1.898
ADAM_lr3e3_t10,SNN,0.14,12.051,3.995,1.602
